ZCTA_GEOID10,11-1,11-2,11-3,11-9,13-1,13-2,15-1,15-2,17-1,17-2,17-3,19-1,19-2,19-3,19-4,21-1,21-2,23-1,23-2,25-1,25-2,25-3,25-4,25-9,27-1,27-2,27-3,27-4,29-1,29-2,29-9,31-1,31-2,31-9,33-1,33-2,33-3,33-9,35-1,35-2,35-3,35-9,37-1,37-2,37-3,39-1,39-2,39-3,39-4,39-5,39-6,39-7,39-9,41-1,41-2,41-3,41-4,41-9,43-1,43-2,43-3,43-4,43-5,43-6,43-9,45-1,45-2,45-3,45-4,47-1,47-2,47-3,47-4,47-5,49-1,49-2,49-3,49-9,51-1,51-2,51-3,51-4,51-5,51-6,51-7,51-8,51-9,53-1,53-2,53-3,53-4,53-5,53-6,53-7
0485343,0.181017415,0.025299839,0.238830165,0.138487927,0.510740393,0.74978723,0,0,0.108024691,0.611111111,0.191358025,0,0,0,0,0.037121121,0.000760778,0.105434461,0.050402571,0.218946987,0.441275208,0.118162058,0.015336312,0.150223403,0.080246914,0,0.009259259,0,1.336940716,0.411384788,0.056249705,0.131182165,0.02749904,0.266717456,0.000845309,3.62275E-05,0.002837822,0.014454776,0.046428802,0.18720099,0.194645716,0.024646039,0.001538607,0.023847794,0.008003102,0.008038414,0.002207273,0.016317134,0,0.00176784,0.000105108,0.000840866,0.287827946,1.140620072,5.725841567,0.692509698,0.397601512,0.043427152,0.59406539,0.010114056,0.435698639,1.32222885,3.424354625,0.517916813,0.695621627,0.000341588,0.014467595,8.53971E-05,0,0.072767175,0.757908466,0.059675994,0.023355692,0.002861259,0.091108676,0.086458933,0.149455191,0.566145962,0.094366512,0.024668958,0.362766866,0.016442824,0,0.000256191,0.000115336,0.256056488,0.261494906,0.022911398,0.666666667,0.067728865,0,0,0.060915626,0.307587934
0485345,127.6828604,28.8446643,106.1736875,134.7733101,233.7537584,219.8431556,244.2258614,10.77413855,3.721316085,95.37892535,38.697374,17.28720672,16.90209361,20.96037304,20.51701727,55.37660553,0.935859735,21.04830512,13.88025849,122.303282,247.1867997,68.01052155,10.9232541,85.2486523,18.91414652,6.159161712,26.14769783,7.314687876,171.8779316,92.39122024,35.34252527,95.0612754,3.915641226,24.37417036,5.17709384,4.427466609,19.29594517,39.1145194,9.657187794,41.88763936,65.35211471,12.24921165,6.70611648,94.09451315,24.52557504,5.716375142,5.010118189,11.87118064,0.031061612,0.316123922,4.745959737,1.665724684,80.53453846,49.24351015,276.0418883,129.3016871,42.71227193,42.70064253,113.7274597,8.841401865,190.1331277,359.0129909,483.3691317,243.6194091,277.296479,0.530621973,7.461842178,0.01653432,0.593478657,8.347529447,53.15055716,1.662911926,18.22943824,0.501876096,17.31125173,13.18520253,45.97226177,105.6774514,21.18331428,60.63393596,22.24138849,55.21545578,8.31090566,12.83080399,10.11391713,19.81133679,77.70771578,17.5458972,11.16812739,163.0537977,1.234832999,1.061340414,8.098772153,152.8212961
0485346,0.33392533,0.084540239,0.385232241,1.452857762,1.199989982,0.474664306,0,0,0,0,0,0,0,0,0,0.185605603,0.003803888,0.032793399,0.035996741,1.094734935,2.206376042,0.590810289,0.07668156,0.751117015,0,0,0,0,0.456885204,0.24870096,0.750977159,0.866658524,0.01799601,0.0812281,0.004226543,0.000181138,0.014189108,0.07227388,0.018467736,0.112095279,0.115147402,0.02834879,0.044538297,0.573202857,0.129929368,0.055239065,0.103810775,0.005565108,0.091254198,0.657555345,0.00609023,0,0.383980115,0.08244389,1.723551267,0.175782283,0.012135603,0.006086957,0.710731615,0.035780984,1.328076594,2.629246801,3.606476208,1.584806267,2.104881532,0.00973095,0.15015893,8.53971E-05,0,0,0.029439539,0,0,0.001201634,0.100741685,0.010671909,0.597909071,0.504859652,0.166487574,0.328456552,0.455052534,0.166577823,0.005920995,0.050821086,0.001037883,0.01504284,1.181014142,0.116088984,0.000240327,1.075774673,0,0.001441961,0.075069886,1.208503451
0485347,0.296208531,0.141706161,0.141706161,0.02464455,0.296682464,0.095734597,0,0,0,0,0,0,0,0,0,0.111363362,0.002282333,0.002843602,0.000473934,0.656840961,1.323825625,0.354486173,0.046008936,0.450670209,0,0,0,0,0.55496092,0.21623438,0.00622293,0.114900184,0.008985911,0.057773684,0.002535926,0.000108683,0.008513465,0.043364328,0.002613631,0.015208842,0.0153333,0.001792204,0.026811169,0.076172454,0.222000047,0.000199134,2.48917E-05,7.46752E-05,0,7.46752E-05,0.000174242,0,0.005426395,0.093645485,0.734113712,0.045150502,0.006688963,0.120401338,0.061807851,0.004348582,0.096016699,0.315417174,0.100075375,0.185249609,0.23708471,0.000425186,0.015595286,8.53971E-05,0.000292593,0.001044976,0.0414148,0.000961378,0.000835981,0.000125397,0.010722676,0.019530941,0.006565625,0.096116674,0.044857706,0.141299477,0.366821372,0.033420813,0.00217355,0.003098525,0.00087778,0.002378525,0.367458816,0.010181087,0.000250794,0.054626928,0,0,0.001421167,0.452432882
0485350,0.162865778,0.064932917,0.165910417,0.087093753,0.770399871,0.442728172,0,0,0,0,0,0,0,0,0,0.074242241,0.001521555,0.176986326,0.129082767,0.437893974,0.882550417,0.236324115,0.030672624,0.300446806,0,0,0,0,0.101909531,0.124058467,0.000488579,0.433329262,0.008998005,0.008346566,0.001690617,7.2455E-05,0.005675643,0.028909552,0.009160865,0.055901633,0.056186637,0.013517365,0.000733676,0.009537784,0,0.010463743,0,8.14299E-05,0,0.000773584,0.000855014,0,0.175929319,0.195651955,1.287708495,0.420948617,0.011857708,0.083833226,0.061807851,0.004348582,0.096016699,0.315417174,0.100075375,0.185249609,0.23708471,0,0.002934703,0,0,0.000733676,0.01027146,0,0,0,0.016140866,0.001467351,0.01027146,0.218635363,0.008070433,0.005869406,0.001467351,0.000733676,0.002934703,0.022743947,0,0.000733676,0.047688921,0.035216434,0,0.360968452,0,0,0.001467351,0.24137931
0485351,20.09722483,4.293383194,15.71205613,25.30224732,35.41240977,27.46957394,36.45815143,1.541848567,0.576396759,12.23827107,4.700823488,3.183750745,2.895003708,4.334779531,3.333180021,9.602068402,0.180803675,2.901780475,1.811324339,12.09604363,24.8594621,6.756510279,1.349930876,8.708264803,1.508116882,0.497109609,2.328132363,1.404435828,26.9269927,13.51434606,1.479579833,17.18957328,0.632391955,3.051667799,0.555375303,0.479060291,1.984876825,4.427603817,1.101625053,4.915523212,8.231018069,1.3042544,1.142498315,18.13503121,2.386954968,0.906205476,0.238399184,1.887435962,0.002452233,0.056415552,0.695934246,0.040423577,13.82576141,9.145044357,54.7297645,13.01084757,9.555592717,3.558750855,18.90858765,1.825625127,32.55544867,62.53488907,70.06603583,45.71314774,49.39626591,0.031989572,0.332432289,0.001293509,0.038677151,0.677511036,4.206876154,0.063883414,1.83234649,0.067673327,2.071022982,2.54358503,3.897973511,13.88217269,2.195001906,7.163691401,2.111046669,7.138784742,0.832475,0.955580254,0.386075242,2.565713762,5.787905514,1.7044415,1.127441041,23.58529411,0.112443326,0.079588753,0.954483147,13.98811199
0485353,68.62384375,15.4932255,59.53811176,54.76030508,117.37143,135.8355899,81.35719335,3.642806648,2.087450692,41.44710488,17.49762413,10.18905301,9.586168209,11.30012675,11.83826631,21.45031188,0.419374666,10.37498862,7.002505399,38.24366409,77.46113101,21.47343581,3.052696413,26.69039566,7.378092301,4.087011951,12.40237267,5.186729104,78.68809263,47.11560536,9.259788888,32.74010746,1.923369985,16.43959848,1.476182713,1.080070874,5.219402781,18.4333341,3.83131209,16.11158539,24.56346125,4.651002706,4.280216973,63.73740996,19.4629528,2.774088137,1.029372879,7.350141206,0.110872058,0.857376813,0.748898804,0.373071225,34.43225463,24.55155382,140.0626996,58.93110307,20.11285965,20.34178388,67.91579045,4.095084102,115.1324864,215.2590805,270.0162258,132.9724588,157.608874,0.598465039,9.977278463,0.017002216,0.509009261,2.933800084,24.60673106,0.599646413,7.829857598,0.293932954,12.32529533,8.404884603,26.96740822,90.33305145,28.45648567,69.31623429,58.7660347,66.25440008,9.557840059,22.58640765,14.4356517,12.0036221,130.423567,21.42265687,8.100688332,163.05999,0.554272864,0.619316354,9.245520457,221.3203695
0485354,4.648310392,1.127636296,4.34388757,4.06080476,8.694114772,6.381836767,25.76026906,1.239730945,0.201217881,8.026834616,3.36784778,0.967271641,1.028302733,0.771205133,1.733623843,1.34574682,0.020237457,0.48081369,0.262595752,2.189920931,4.431245543,1.191994957,0.15336312,1.520276429,0.164469629,0.127185726,0.515511858,0.096529162,7.073465228,4.616979189,2.148604317,4.224529815,0.145876613,0.980721729,0.009355205,0.000362275,0.029280335,1.108216928,0.516389806,2.449903422,3.809866865,0.4168634,0.355445019,4.249957027,1.995054963,0.274403449,0.059775179,0.698209115,0.004904465,0.011483039,0.011938509,0.039884933,3.516200928,5.931446638,37.30392941,2.320916883,1.075269411,0.368437657,6.492201507,0.495476327,11.24592891,19.52578574,30.03023069,12.19250824,15.01786858,0.022593768,0.238772039,0.00070555,0.039083543,1.044287807,6.263044827,0.103641829,0.984037722,0.062075127,3.08142988,2.802908582,3.506336537,19.93790702,3.217098065,4.146237348,0.379141041,4.967097509,0.046889347,0.928677512,1.412055358,10.62300695,4.765671455,1.279269122,0.786044821,8.62960345,0.058775241,0.03377273,2.137595313,12.9017835
0485355,32.36426467,6.67133153,25.54134553,41.15418634,63.24590721,40.49449062,60.16404874,2.835951259,0.783433427,26.33393548,9.665950229,4.227535747,3.967528588,4.058800827,5.471881526,11.32869173,0.257707611,7.408055509,4.120418598,26.86766484,53.99978425,14.75119576,2.714589975,18.68874579,2.855647653,1.979575078,4.452177553,3.203533892,32.04372306,15.79106362,2.299844156,11.6592612,0.707479461,5.222194776,2.086721215,2.507931235,9.915856402,8.881111189,1.327609744,5.377812572,8.014111413,1.948536769,0.730333943,11.46758609,3.155537494,0.972754698,0.163270241,2.595909746,0.007356698,0.058607649,0.14507098,0.130557479,12.53483574,7.84796897,41.27150435,15.69379439,11.23311226,4.953620025,18.2858776,1.381634974,27.87933943,59.69637969,74.78202201,41.44085148,46.53389482,0.071216452,1.025125551,0.002554823,0.104740334,1.121216887,6.590516673,0.104919421,2.733708029,0.066804239,3.311806883,2.828313005,5.938405651,19.49624082,3.261747563,6.780903215,1.781825303,6.387972159,1.916469781,1.148670503,1.426862257,7.431061388,7.325977415,2.510335075,4.491549758,20.2471936,0.201971027,0.121141177,1.354600593,20.86269288
0485357,0.484587623,0.038996395,0.219784497,0.646251619,0.400003892,0.205566836,0,0,0,0,0,0,0,0,0,0,0,0.003005711,0.001803427,0,0,0,0,0,0,0,0,0,0.55496092,0.21623438,0.00622293,0.114900184,0.008985911,0.057773684,0,0,0,0,0.002613631,0.015208842,0.348666633,0.001792204,0,0.011390117,0,0.000199134,2.48917E-05,7.46752E-05,0,7.46752E-05,0.000174242,0,0.672093062,0.129491312,0.86343266,0.000550358,0.001257961,0.00526771,0.167433831,0.04316884,0.253166462,0.298785213,0.886856312,0.104886903,0.245702439,0,0,0,0,0.000194024,0.014262276,0,0,0,0.011584141,0.0116143,0.002716337,0.119872185,0.112029291,0.594645037,0,0.514951414,0.009701203,0.012461271,0.000582072,0.000819827,0.370817173,0.008886905,0,0.013562583,0,0,0,0.189909844
