MSA_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
24300,1970,2450,580,620,540,1290,390,3290,700,4690,2020,1310,6320,1660,1660,7390,9280,40,3740,2910,2270,3590,0
24340,24970,22240,9430,13480,1880,8030,2150,28230,9590,32150,15810,7140,43380,18270,14200,51850,77070,680,16770,21510,81820,51720,0
24420,1090,420,330,160,200,710,70,1030,360,1330,760,380,2520,910,1770,2930,4740,80,720,670,1670,1340,0
24500,970,1750,630,350,270,710,280,2410,550,2650,1180,600,3900,1550,1200,4340,5310,60,2010,1950,1030,2050,0
24540,3410,3930,970,1850,490,1240,400,6570,850,3830,1730,1810,8140,3160,2180,9530,12500,560,9880,4480,10320,8210,0
24580,7620,8550,4500,2780,1020,2050,480,9280,2360,9780,3920,3500,14260,4200,6340,16790,27330,180,6630,6930,18520,13850,0
24660,14580,15540,6550,4790,1970,2980,1180,18600,3020,18280,11460,8060,30700,11380,9050,35720,59200,180,11670,16120,42150,33700,0
24780,2510,2170,1030,560,910,1180,290,6500,760,8130,4290,1100,8970,2240,1830,7890,11580,70,2410,2430,3920,3200,0
24860,17470,14650,7100,8480,1380,3910,2070,21840,3840,22940,10980,7210,36290,12490,9600,41530,58490,240,13090,16840,55930,29770,0
25020,480,200,40,250,140,150,0,1390,0,700,130,800,790,440,170,1580,1490,0,310,390,1120,440,0
25060,7520,5340,2410,3320,1350,1700,720,8200,760,9720,3390,5170,18310,5630,5160,14540,20960,110,9500,6940,11210,7670,0
25180,3720,3330,2590,980,280,2380,680,5960,800,7230,2980,3310,8680,2480,3010,12030,17810,80,3200,4160,4820,10970,0
25220,1580,1090,440,170,-1,690,-1,3390,210,3260,1170,1160,4650,930,2890,6110,5880,120,830,1580,2180,3030,0
25260,1330,1120,300,140,430,890,190,3400,160,2500,820,3660,3570,1210,1400,3200,5180,3050,900,1650,2240,2850,0
25420,13830,20840,12390,4530,2070,5750,3230,17040,3550,20100,9010,7190,25800,8690,10900,27740,58240,170,8390,11820,15600,32240,0
25500,1700,1980,1000,450,360,590,220,4280,820,3020,1600,920,6260,2650,2020,6070,8610,490,2660,3140,6760,5750,0
25620,3050,1610,450,400,130,660,260,4520,360,5260,2030,1160,6600,1580,1460,6610,11230,150,2140,2770,2760,4060,0
25860,4760,3570,1290,1420,400,2140,320,7400,890,8930,7710,3450,12680,3040,2400,13970,19760,140,3010,6340,30480,14500,0
25940,3070,2170,670,450,170,850,640,3640,720,3830,2430,1910,11710,5080,3170,10620,9970,50,3150,2880,1490,3770,0
25980,750,930,290,280,200,310,100,2100,60,890,380,540,1710,540,290,1460,2620,40,480,910,1120,770,0
26140,620,970,250,140,0,360,100,1820,110,3170,1640,850,3840,1500,1150,4330,4840,0,2270,1730,790,1240,0
26300,1520,790,190,250,110,660,170,1600,220,3160,1390,770,4660,1460,1160,5460,5180,30,1410,1540,1950,1700,0
26380,3750,-1,410,1780,410,1230,270,3750,390,5260,2040,1680,7270,2030,1690,9390,12430,60,5900,6230,7760,12610,0
26420,128130,154980,80780,87500,30710,22880,23610,172810,29480,153680,64190,70660,276520,84660,81740,301200,467890,2670,176410,126020,185140,213330,0
26580,4910,3590,1000,1470,880,2050,630,8940,660,13350,5160,2170,13320,3750,4160,14670,19790,0,7260,6140,8920,8290,0
26620,9440,15560,13450,18130,1620,1390,790,9450,2400,12390,5080,3990,17030,7140,4910,22750,29320,100,5840,8570,17050,11850,0
26820,3900,2310,1110,1920,1720,1070,270,3280,830,3250,1940,1450,5150,1770,2030,6950,8370,830,4170,2510,3550,4000,0
26900,56710,57580,31540,14120,10230,11550,7080,42100,13370,70170,25210,23290,93760,29070,25090,103640,152400,740,37970,40320,66390,102460,0
26980,4700,3480,2360,840,2060,1360,300,8280,1080,8050,2870,1430,9340,2730,3780,7950,12950,120,3220,2430,5050,6260,0
27060,2490,1950,1720,920,1910,1330,310,8320,860,2260,950,710,4790,2230,1690,3740,7660,190,1330,1660,2020,1540,0
27100,2960,2400,1190,2480,280,1160,200,3070,380,3840,1890,1590,5110,1250,1300,5290,8290,70,1460,2350,9800,2750,0
27140,16030,11000,4080,3500,1730,3740,2490,16380,2850,21690,8040,8920,22470,8360,10880,27140,40200,430,7090,11030,16540,17920,0
27180,3020,1510,440,1650,250,1050,270,3440,290,5970,2400,970,5230,1410,2170,6100,9600,60,1950,3110,7900,4980,0
27260,22080,41710,17380,8030,2660,6650,4860,30750,6790,43020,17730,17160,65020,20410,16740,74460,118830,440,28500,29060,24510,48390,0
27340,1230,1520,450,310,270,500,230,3790,240,2110,1310,1170,7420,1720,1190,6240,8000,0,2030,1720,1110,2600,0
27500,2820,2200,1090,840,290,790,210,4480,470,4050,1740,960,6110,1710,2060,7160,9340,60,2420,2930,6820,6270,0
27620,3850,4610,2570,1080,670,1560,840,3090,970,3950,2780,2740,5430,1990,1930,5450,13600,100,2820,3320,5000,3800,0
27740,3990,2810,1110,830,370,790,300,5250,660,8400,3380,1260,8330,1850,2690,7920,13710,-1,1850,2830,5390,4350,0
27780,1730,1800,760,800,220,1740,190,3610,460,4690,1910,1050,5020,1810,3030,5430,8850,40,2130,2230,2880,3570,0
27860,2480,1360,500,380,120,690,150,3840,310,4840,1800,920,5410,2020,1630,6320,7570,270,1810,2450,5190,3670,0
27900,2710,2230,800,710,200,1110,180,4260,590,5350,2120,1070,7200,1890,2270,8760,12080,240,2390,3400,8480,8950,0
27980,3870,1790,400,450,390,1140,210,3050,900,2220,1720,2100,13410,6490,2720,8780,9950,200,3440,3010,1770,4770,0
28020,6330,5360,2190,2510,1920,2240,670,9000,1560,9680,4870,2030,14000,4060,3490,13810,20180,200,4640,4920,14370,8610,0
