IND_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
451000,18100,6800,2100,0,0,0,0,7400,4600,0,0,700,8400,1800,1600,462700,65600,0,0,23900,10600,6200,0
451100,14400,5300,1800,0,0,0,0,7400,4200,0,0,700,3300,1700,1600,396600,58500,0,0,23700,10600,6000,0
451110,8300,3400,0,0,0,0,0,800,2000,0,0,700,3100,1500,1500,215100,35900,0,0,16500,3900,3000,0
451200,3700,1600,400,0,0,0,0,0,400,0,0,0,5100,100,0,66100,7200,0,0,200,0,200,0
452000,37800,14300,600,0,0,0,0,0,24500,82400,3700,40000,64599,53000,24300,1798100,787800,0,100,21200,58700,159600,0
452100,12300,8800,200,0,0,0,0,0,22200,24200,700,26300,21100,8600,15000,775400,323500,0,100,3500,6100,60600,0
452900,25500,5500,400,0,0,0,0,0,2200,58200,3000,13700,43500,44500,300,1022700,464300,0,0,17700,52600,98900,0
453000,25900,8800,4300,200,0,900,0,300,34800,100,0,500,4100,4700,38500,524200,98000,1300,3100,23700,13700,45600,0
453100,1600,300,0,0,0,0,0,0,28000,0,0,0,200,600,0,14800,4100,900,0,100,100,11600,0
453200,8000,2700,3000,0,0,0,0,0,2300,0,0,100,2100,700,700,207100,28800,0,0,7500,800,7400,0
453300,4400,2300,400,0,0,900,0,100,700,0,0,200,900,1600,0,110700,30200,0,200,1900,3500,16500,0
453900,11900,3400,900,100,0,0,0,200,3800,0,0,200,900,1800,37600,191500,34800,300,2900,14300,9200,10100,0
454000,31600,32900,26000,700,300,0,500,100,13900,10900,0,800,4800,1700,300,65099,196800,300,1500,35200,14200,97900,0
454100,21900,29600,24800,600,200,0,400,100,13000,10800,0,700,300,1200,300,43400,155800,200,200,3300,12900,41500,0
454200,1700,400,200,0,0,0,0,0,100,0,0,0,3900,100,0,2400,5600,0,0,13600,100,11300,0
454300,8000,2900,1000,100,100,0,100,0,800,0,0,100,600,400,0,19300,35400,100,1300,18300,1200,45100,0
48-490,153500,88100,26500,20000,2100,100,1400,400,3700,6200,800,36600,8900,17800,19700,70800,858300,2900,28700,302400,76800,3263500,0
481000,10700,8800,2900,1600,0,0,200,100,700,400,0,500,1200,900,1100,3500,130699,0,0,45400,1100,265400,0
481100,8300,7600,2700,1300,0,0,100,0,500,200,0,400,1100,800,1000,2400,123500,0,0,36900,700,245600,0
481200,2400,1300,300,300,0,0,0,100,200,200,0,100,0,100,100,1100,7200,0,0,8500,400,19900,0
482000,13600,4900,2500,2600,100,0,500,0,200,200,0,800,100,600,300,400,13900,0,18200,31800,10400,113300,0
483000,3100,2700,600,800,0,0,0,0,100,100,0,100,2000,100,100,1800,9200,0,100,2100,500,42100,0
483100,2300,2100,500,400,0,0,0,0,0,0,0,0,1000,100,100,1500,6900,0,100,900,400,22000,0
483200,800,500,100,400,0,0,0,0,0,0,0,100,1000,100,0,300,2300,0,100,1200,200,20200,0
484000,41300,20200,3800,600,0,0,100,0,300,2500,0,1400,0,2600,0,18900,180900,1700,3200,71900,2900,1101100,0
484100,26600,13400,2500,200,0,0,100,0,0,2000,0,1100,0,1800,0,10900,120900,700,500,47500,1600,772700,0
484200,14700,6800,1300,400,0,0,100,0,200,500,0,300,0,800,0,7900,59900,1000,2800,24400,1400,328500,0
485000,8600,3600,400,0,100,0,0,0,100,1100,0,24500,300,1000,1200,2300,51000,0,0,19600,0,363700,0
485100,1100,900,100,0,0,0,0,0,100,0,0,300,0,200,0,100,4700,0,0,5000,0,37000,0
485200,400,200,0,0,0,0,0,0,0,0,0,0,300,200,0,0,3600,0,0,1300,0,13400,0
485300,2000,800,100,0,0,0,0,0,0,0,0,0,0,100,200,1100,19000,0,0,2400,0,53700,0
485400,2000,600,0,0,0,0,0,0,0,100,0,22100,0,200,300,100,6200,0,0,6300,0,157600,0
485500,800,300,0,0,0,0,0,0,0,0,0,100,0,200,200,700,3000,0,0,2000,0,23600,0
485900,2400,800,100,0,0,0,0,0,0,900,0,1800,0,200,400,300,14400,0,0,2600,0,78300,0
486000,3000,3500,1200,5100,1000,0,200,0,100,200,0,0,0,0,0,500,3500,0,2500,8000,15100,5600,0
486100,700,800,300,2100,300,0,0,0,0,0,0,0,0,0,0,100,600,0,300,1600,3300,1200,0
486200,1800,2100,700,2000,400,0,100,0,0,100,0,0,0,0,0,300,2300,0,1900,5300,8500,3700,0
486900,600,500,200,1000,200,0,0,0,0,0,0,0,0,0,0,100,600,0,300,1200,3400,600,0
487-80,34100,20100,7300,4800,500,0,200,200,600,500,0,3100,4100,4000,16800,24700,196100,500,3500,86100,17800,269500,0
487000,1300,500,0,0,0,0,0,0,300,0,0,0,3500,300,4400,2200,4900,200,0,1900,0,14900,0
487100,500,200,0,0,0,0,0,0,100,0,0,0,800,100,3000,1200,2300,100,0,1000,0,5400,0
487200,600,300,0,0,0,0,0,0,200,0,0,0,2700,200,1100,800,1800,100,0,400,0,8100,0
487900,200,100,0,0,0,0,0,0,0,0,0,0,0,0,300,200,800,0,0,400,0,1400,0
488000,32800,19600,7300,4800,400,0,200,200,400,400,0,3100,0,3700,12300,22500,191200,300,3400,84200,17700,254700,0
488100,6600,5500,1700,3600,0,0,0,200,200,200,0,2000,100,2600,12000,2600,37800,0,900,57700,9800,52000,0
488200,1400,500,0,200,0,0,0,0,0,0,0,100,0,100,0,200,2500,0,1100,9000,2200,15700,0
488300,3200,1200,300,600,100,0,0,0,0,100,0,300,0,100,0,500,9100,0,600,7700,2100,64099,0
488400,3200,900,200,0,0,0,0,0,0,0,0,400,0,400,0,2100,19700,0,300,7200,600,62700,0
488500,17100,10900,4900,200,0,0,100,0,100,100,0,300,0,300,0,16100,114800,0,0,1900,900,42500,0
488900,1300,600,100,100,0,0,0,0,0,0,0,0,0,200,0,1000,7300,0,500,800,2100,17700,0
491000,16700,8100,2000,5900,100,0,300,200,100,500,0,1400,0,15900,0,900,529400,0,100,15600,100,11600,0
492000,10100,6200,2200,1500,0,0,0,0,100,0,0,1100,0,300,0,5200,69000,0,0,11000,0,534400,0
492100,7900,5800,2100,1500,0,0,0,0,0,0,0,1100,0,0,0,4200,48000,0,0,10800,0,492000,0
492200,2100,400,100,0,0,0,0,0,0,0,0,0,0,0,0,1000,21000,0,0,100,0,42400,0
493000,29000,18100,5600,3000,300,0,0,0,1500,900,0,5100,700,8200,300,13600,204000,600,700,26300,28800,568300,0
510000,199300,219900,564600,40800,1700,300,8600,18000,450700,2200,0,4800,51000,7300,64700,327000,466300,0,10500,255900,33100,44600,0
511000,66400,64400,210400,3600,400,0,2500,1700,119800,100,0,300,100,1400,0,89500,113000,0,300,2900,28200,24800,0
511100,27000,21000,21500,400,300,0,600,1300,107500,0,0,200,100,1100,0,56500,82500,0,300,2300,27300,24300,0
511110,8500,3900,3900,0,100,0,100,100,54000,0,0,200,0,800,0,27700,38900,0,200,1500,18700,20000,0
511200,39300,43400,188900,3200,100,0,1900,400,12300,100,0,0,0,300,0,33000,30500,0,0,600,800,200,0
512000,15600,14800,6000,700,0,100,800,500,165600,500,0,2200,50400,2300,63800,28800,39500,0,7700,1700,2200,16100,0
512100,13900,13300,5400,700,0,0,800,400,158700,500,0,2200,50400,2200,63800,27900,36100,0,7700,1700,1900,15700,0
512130,4500,300,0,0,0,0,0,0,300,0,0,1500,49000,1800,57300,23100,1200,0,0,600,0,0,0
512200,1700,1500,700,0,0,0,0,0,7000,0,0,0,0,100,0,900,3300,0,0,0,300,300,0
515000,22500,13900,11100,1600,800,0,600,300,131200,0,0,0,0,900,400,35200,36700,0,0,11500,200,1000,0
515100,18400,10200,6600,1100,800,0,500,200,121000,0,0,0,0,900,300,29000,24100,0,0,1400,0,700,0
515110,5900,2800,1600,200,0,0,0,0,43600,0,0,0,0,500,0,17000,12000,0,0,300,0,200,0
515120,12600,7400,5000,800,800,0,500,100,77300,0,0,100,0,400,200,12000,12100,0,0,1100,100,500,0
515200,4100,3700,4500,500,0,0,100,100,10200,0,0,0,0,0,100,6100,12600,0,0,10100,0,300,0
517000,37000,67900,134200,32200,0,0,1800,100,4400,400,0,500,100,700,0,117100,156800,0,2200,236900,400,1700,0
517100,22800,48300,96900,21900,0,0,1400,100,3400,400,0,400,0,500,0,65500,113000,0,2000,210500,200,1200,0
517200,7400,13200,17500,8000,0,0,200,0,300,0,0,0,0,0,0,33700,25500,0,0,14600,0,200,0
5174-9,6900,6400,19800,2300,0,0,200,0,700,0,0,100,0,100,0,17900,18300,0,100,11800,200,100,0
517400,800,700,1900,500,0,0,0,0,200,0,0,0,0,0,0,700,1200,0,0,1700,0,0,0
517900,6000,5700,18000,1800,0,0,200,0,600,0,0,0,0,100,0,17200,17100,0,100,10100,200,100,0
518000,28500,30800,123500,2300,200,0,1300,100,3700,1100,0,300,0,200,0,23000,79500,0,100,2100,1500,800,0
519000,29300,28000,79400,400,200,100,1500,15300,26000,0,0,800,100,1900,300,33500,40700,0,0,800,500,300,0
520000,502500,1504700,424600,3700,3000,8700,57000,600,19200,51700,1300,8600,900,9800,1100,879800,2647700,100,800,11500,2300,2600,0
521-20,215100,581900,152000,400,1000,0,9500,200,5300,100,0,5500,200,5000,100,242200,1395500,0,300,5700,600,900,0
521000,2700,6300,4100,100,500,0,100,0,300,0,0,1100,0,100,0,0,2700,0,100,200,100,0,0
522000,212400,575600,147900,400,500,0,9400,200,5000,100,0,4400,200,4900,100,251000,1392800,0,200,5500,500,900,0
522100,149700,329900,81000,100,100,0,4700,100,3200,100,0,3300,200,4200,100,160600,957900,0,0,3500,0,100,0
